Table,Colonne,Type_Python,Nb_Valeurs_Uniques,Pct_Manquants,Exemple_Valeur,Description
olist_customers,customer_id,str,99441,0.0,06b8999e2fba1a1fbc88172c00ba8bc7,Identifiant unique de la commande côté client (clé étrangère)
olist_customers,customer_unique_id,str,96096,0.0,861eff4711a542e4b93843c6dd7febb0,Identifiant unique du client (clé primaire client)
olist_customers,customer_zip_code_prefix,int64,14994,0.0,14409,Code postal du client (5 chiffres)
olist_customers,customer_city,str,4119,0.0,franca,Ville du client
olist_customers,customer_state,str,27,0.0,SP,État brésilien du client (abréviation 2 lettres)
olist_orders,order_id,str,99441,0.0,e481f51cbdc54678b7cc49136f2d6af7,Identifiant unique de la commande
olist_orders,customer_id,str,99441,0.0,9ef432eb6251297304e76186b10a928d,Identifiant client (clé étrangère → olist_customers)
olist_orders,order_status,str,8,0.0,delivered,"Statut de la commande (delivered, shipped, canceled, etc.)"
olist_orders,order_purchase_timestamp,str,98875,0.0,2017-10-02 10:56:33,Date et heure de passage de la commande
olist_orders,order_approved_at,str,90733,0.16,2017-10-02 11:07:15,Date et heure de validation du paiement
olist_orders,order_delivered_carrier_date,str,81018,1.79,2017-10-04 19:55:00,Date de remise au transporteur
olist_orders,order_delivered_customer_date,str,95664,2.98,2017-10-10 21:25:13,Date de livraison effective au client
olist_orders,order_estimated_delivery_date,str,459,0.0,2017-10-18 00:00:00,Date de livraison estimée lors de la commande
olist_order_items,order_id,str,98666,0.0,00010242fe8c5a6d1ba2dd792cb16214,Identifiant commande (clé étrangère → olist_orders)
olist_order_items,order_item_id,int64,21,0.0,1,"Numéro de ligne dans la commande (1, 2, 3...)"
olist_order_items,product_id,str,32951,0.0,4244733e06e7ecb4970a6e2683c13e61,Identifiant produit (clé étrangère → olist_products)
olist_order_items,seller_id,str,3095,0.0,48436dade18ac8b2bce089ec2a041202,Identifiant vendeur
olist_order_items,shipping_limit_date,str,93318,0.0,2017-09-19 09:45:35,Date limite d'expédition pour le vendeur
olist_order_items,price,float64,5968,0.0,58.9,Prix unitaire du produit (BRL)
olist_order_items,freight_value,float64,6999,0.0,13.29,Frais de livraison pour cet article (BRL)
olist_payments,order_id,str,99440,0.0,b81ef226f3fe1789b1e8b2acac839d17,Identifiant commande (clé étrangère)
olist_payments,payment_sequential,int64,29,0.0,1,Numéro de séquence (commandes à paiements multiples)
olist_payments,payment_type,str,5,0.0,credit_card,"Type de paiement (credit_card, boleto, voucher, debit_card)"
olist_payments,payment_installments,int64,24,0.0,8,Nombre de mensualités choisies par le client
olist_payments,payment_value,float64,29077,0.0,99.33,Montant de ce paiement (BRL)
olist_reviews,review_id,str,98410,0.0,7bc2406110b926393aa56f80a40eba40,Identifiant unique de l'avis
olist_reviews,order_id,str,98673,0.0,73fc7af87114b39712e6da79b0a377eb,Identifiant commande concernée
olist_reviews,review_score,int64,5,0.0,4,Note client de 1 (très mauvais) à 5 (excellent)
olist_reviews,review_comment_title,str,4527,88.34,recomendo,Titre du commentaire (optionnel)
olist_reviews,review_comment_message,str,36159,58.7,Recebi bem antes do prazo estipulado.,Texte du commentaire (optionnel)
olist_reviews,review_creation_date,str,636,0.0,2018-01-18 00:00:00,Date de création du formulaire d'avis
olist_reviews,review_answer_timestamp,str,98248,0.0,2018-01-18 21:46:59,Date de soumission de l'avis par le client
instacart_orders,order_id,int64,3421083,0.0,2539329,Identifiant unique de la commande
instacart_orders,user_id,int64,206209,0.0,1,Identifiant unique du client Instacart
instacart_orders,eval_set,str,3,0.0,prior,"Ensemble d'évaluation (prior, train, test)"
instacart_orders,order_number,int64,100,0.0,1,Numéro séquentiel de la commande pour ce client
instacart_orders,order_dow,int64,7,0.0,2,"Jour de la semaine (0=dimanche, 6=samedi)"
instacart_orders,order_hour_of_day,int64,24,0.0,8,Heure de la commande (0-23)
instacart_orders,days_since_prior_order,float64,31,6.03,15.0,Jours écoulés depuis la commande précédente (NaN = 1ère commande)
amazon_reviews,reviewerID,str,4915,0.0,A3SBTW3WS4IQSN,Identifiant unique du reviewer Amazon
amazon_reviews,asin,str,1,0.0,B007WTAJTO,Amazon Standard Identification Number (identifiant produit)
amazon_reviews,reviewerName,str,4594,0.02,0mie,Pseudo du reviewer
amazon_reviews,helpful,str,42,0.0,"[0, 0]","Votes d'utilité [nombre de votes positifs, total votes]"
amazon_reviews,reviewText,str,4912,0.02,No issues.,Texte complet de l'avis
amazon_reviews,overall,float64,5,0.0,4.0,Note globale attribuée au produit (1 à 5)
amazon_reviews,summary,str,3885,0.0,Four Stars,Résumé court de l'avis
amazon_reviews,unixReviewTime,int64,690,0.0,1406073600,Date de l'avis en format Unix timestamp
amazon_reviews,reviewTime,str,690,0.0,2014-07-23,Date de l'avis en format lisible
amazon_reviews,day_diff,int64,690,0.0,138,— à documenter —
amazon_reviews,helpful_yes,int64,23,0.0,0,— à documenter —
amazon_reviews,total_vote,int64,26,0.0,0,— à documenter —
